Position,Biological_Replicate_id,Time,FC,trehalose,glucose,pyruvate,succinate,lactate,formate,acetate,propionate,ethanol,butyrate,valeric acid
minibioreactor1,biorep1,12,1815105000.0,129.55,65.39,632.56,392.03,501.39,405.11,722.65,31.87,1837.13,54.6,10.69
minibioreactor1,biorep1,25,648284000.0,28.71,4.57,17.65,379.58,248.95,61.34,1408.24,412.17,1171.89,346.72,323.94
minibioreactor1,biorep1,37,421409000.0,28.92,3.94,16.16,303.96,191.58,52.26,1660.69,461.25,1664.79,520.55,653.34
minibioreactor1,biorep1,49,474813000.0,27.44,4.33,15.81,255.65,161.45,58.81,1798.18,476.4,1146.3,577.95,672.95
minibioreactor1,biorep1,61,538687000.0,27.2,3.58,16.01,227.61,146.23,50.86,1834.6,462.52,1474.7,611.86,655.84
minibioreactor1,biorep1,67,467342000.0,27.53,4.74,16.23,227.69,133.5,49.7,1922.37,465.02,,646.03,682.85
minibioreactor2,biorep2,12,1768334000.0,67.21,4.17,523.06,363.77,519.52,390.81,800.96,44.86,2327.96,76.21,13.1
minibioreactor2,biorep2,25,582017000.0,30.02,3.98,17.63,356.91,218.26,62.91,1458.53,419.77,1188.62,381.11,441.99
minibioreactor2,biorep2,37,586625000.0,29.76,3.79,17.2,286.85,178.18,50.48,1731.01,475.6,1524.74,519.07,666.74
minibioreactor2,biorep2,49,634992000.0,27.72,3.5,16.25,240.4,145.4,53.91,1842.36,472.77,1115.23,544.13,656.45
minibioreactor2,biorep2,61,353479000.0,27.31,3.71,16.66,211.2,128.09,58.48,1929.33,451.53,1393.82,571.75,658.9
minibioreactor2,biorep2,67,278781000.0,27.23,,16.87,204.9,116.05,60.9,2003.65,449.52,413.79,586.4,680.8
minibioreactor3,biorep3,12,1738037000.0,66.02,3.35,518.55,364.56,548.78,386.91,819.23,114.38,1901.26,82.19,14.12
minibioreactor3,biorep3,25,763283000.0,30.1,4.0,17.71,355.23,209.83,62.35,1436.52,426.37,1254.13,403.15,441.85
minibioreactor3,biorep3,37,628483000.0,29.42,3.49,17.4,280.47,173.7,47.84,1690.75,473.51,1549.99,524.19,659.81
minibioreactor3,biorep3,49,580521000.0,27.59,,17.1,235.36,144.42,53.96,1856.09,482.69,1093.97,552.32,661.21
minibioreactor3,biorep3,61,373867000.0,26.89,4.19,17.07,205.35,128.95,58.07,1942.48,458.67,1407.42,567.07,653.57
minibioreactor3,biorep3,67,379242000.0,25.87,3.89,17.06,193.12,122.13,54.85,1964.27,443.4,497.61,574.91,658.91
minibioreactor4,biorep4,12,1477707000.0,102.84,18.8,566.85,435.39,535.5,412.58,770.1,39.25,1827.25,60.69,0.58
minibioreactor4,biorep4,25,641595000.0,29.28,2.85,17.42,363.58,235.79,63.11,1456.22,422.56,1157.6,344.39,377.87
minibioreactor4,biorep4,37,590697000.0,28.92,3.31,16.4,287.45,183.83,53.92,1740.17,463.48,1535.64,493.5,655.16
minibioreactor4,biorep4,49,561941000.0,27.22,,15.92,239.97,156.23,52.84,1882.67,478.35,1000.4,523.68,654.54
minibioreactor4,biorep4,61,486101000.0,27.25,4.8,16.04,213.28,134.61,51.36,1980.39,461.9,1465.08,555.03,666.19
minibioreactor4,biorep4,67,443147000.0,26.7,4.94,15.78,202.02,120.36,56.56,2007.28,449.89,382.3,571.09,666.21
minibioreactor5,biorep5,12,2186964000.0,96.95,20.45,559.64,373.14,518.82,400.32,748.09,99.4,2175.18,59.99,11.1
minibioreactor5,biorep5,25,386580000.0,29.66,3.62,17.66,368.23,235.72,63.74,1459.44,425.35,1125.62,356.56,370.73
minibioreactor5,biorep5,37,584607000.0,28.9,3.91,16.44,290.08,182.31,52.15,1725.53,464.87,1559.9,475.7,658.29
minibioreactor5,biorep5,49,418760000.00000006,27.29,3.7,15.81,244.65,151.39,54.75,1869.09,477.53,938.79,534.05,664.48
minibioreactor5,biorep5,61,347605000.0,26.8,3.85,16.1,212.92,131.6,48.68,1958.57,463.84,1525.65,554.88,660.91
minibioreactor5,biorep5,67,445687000.0,25.95,4.78,16.23,201.95,125.23,47.72,2000.49,455.38,408.99,579.43,666.69
minibioreactor6,biorep6,12,1150367000.0,117.13,37.33,605.86,445.26,518.2,403.92,740.74,92.96,1957.92,62.46,10.58
minibioreactor6,biorep6,25,652770000.0,29.07,3.36,17.74,374.55,237.01,63.32,1438.72,417.82,1058.46,359.27,370.64
minibioreactor6,biorep6,37,575720000.0,30.03,3.28,16.75,310.75,188.9,54.71,1761.78,476.56,1263.07,502.32,685.38
minibioreactor6,biorep6,49,611842000.0,27.32,4.04,15.65,251.42,153.38,57.5,1822.25,478.26,936.99,571.77,663.79
minibioreactor6,biorep6,61,470843999.99999994,27.43,5.46,16.23,226.23,135.65,61.88,1935.4,468.27,1379.22,626.79,676.9
minibioreactor6,biorep6,67,331865000.0,25.52,3.52,15.63,210.55,119.77,56.66,1887.18,446.04,499.8,608.82,659.48
